,tconst,budget,gross,ww_gross,rating
0,tt3564924,150000,,,PG-13
1,tt3565112,,,,TV-14
2,tt3565174,,,191365,
3,tt3565406,,,,Drama
4,tt3565434,40000,,,NotRated
5,tt3565744,,,834831,
6,tt3566564,,,,TV-PG
7,tt3566698,,,,NotRated
8,tt3566718,,,5642,
9,tt3566788,,34793,146937,NotRated
10,tt3567194,,,6625303,NotRated
11,tt3567200,,11428,11428,PG-13
12,tt3567288,5000000,65206105,98450062,PG-13
13,tt3567400,118,,,
14,tt3567666,,,257212,R
15,tt3567794,,,,"Comedy,"
16,tt3568002,,159305,159305,
17,tt3568078,245000,,,
18,tt3568380,,,,NotRated
19,tt3568658,2500,,,R
20,tt3568804,,,453511,
21,tt3568948,,,,TV-MA
22,tt3569014,,,,NotRated
23,tt3569230,30000000,1872994,42972994,R
24,tt3569326,800000,3861,3861,NotRated
25,tt3569356,800000,36026,36026,NotRated
26,tt3569374,,,,NotRated
27,tt3569732,212400,,,
28,tt3569782,,,24274,NotRated
29,tt3569786,,,,Horror
30,tt3569788,,,0,TV-MA
31,tt3569828,,,,Romance
32,tt3569970,3186000,,,NotRated
33,tt3569978,590000,,1575,
34,tt3570012,1180000,,,
35,tt3570168,,,,NotRated
36,tt3570538,120000,,,
37,tt3570720,250000,,,
38,tt3571378,,,,NotRated
39,tt3571468,16520,,,
40,tt3571882,1000000,,,
41,tt3571904,,,2500000,
42,tt3572020,262,,,
43,tt3572044,,,,Action
44,tt3572132,,,9155561,NotRated
45,tt3572448,4720,,,"Fantasy,"
46,tt3572642,3000000,,,Action
47,tt3572756,,,,PG
48,tt3573008,,,,History
49,tt3573138,1500000,,,
50,tt3573140,,,190801,
51,tt3573196,144000,,,
52,tt3573354,,,565869,
53,tt3573380,100000,,,
54,tt3573412,,,,"Action,"
55,tt3573598,,,363461,TV-14
56,tt3573600,1180,,,
57,tt3574218,,,34966,
58,tt3574352,,,,TV-MA
59,tt3574422,100,,,Documentary
60,tt3574590,,,,PG
61,tt3574800,,,,Biography
62,tt3574822,25000000,,1670217,PG
63,tt3574904,,,,TV-MA
64,tt3574924,,,,TV-PG
65,tt3575136,,,,NotRated
66,tt3575244,60000,,,NotRated
67,tt3575258,,,,TV-PG
68,tt3575618,212400,,,
69,tt3576004,,,,Unrated
