,tconst,primaryTitle,startYear,genres,averageRating,budget,ww_gross,budget1mil,ww_gross1mil,numeratorROI,ROI,genre_list,History,Mystery,Western,Fantasy,Drama,Horror,Documentary,Comedy,Thriller,Music,Sport,Biography,Romance,Sci-Fi,Crime,Family,Adventure,Action,Musical,Animation,War,genre_count
0,tt0337692,On the Road,2012,"Adventure,Drama,Romance",6.1,25000000.0,9617377.0,25.0,9.62,-15382623.0,-61.530492,Adventure,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,3
0,tt0337692,On the Road,2012,"Adventure,Drama,Romance",6.1,25000000.0,9617377.0,25.0,9.62,-15382623.0,-61.530492,Drama,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,3
0,tt0337692,On the Road,2012,"Adventure,Drama,Romance",6.1,25000000.0,9617377.0,25.0,9.62,-15382623.0,-61.530492,Romance,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,3
1,tt0359950,The Secret Life of Walter Mitty,2013,"Comedy,Drama,Fantasy",7.3,90000000.0,188133322.0,90.0,188.13,98133322.0,109.03702444444446,Comedy,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3
1,tt0359950,The Secret Life of Walter Mitty,2013,"Comedy,Drama,Fantasy",7.3,90000000.0,188133322.0,90.0,188.13,98133322.0,109.03702444444446,Drama,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3
1,tt0359950,The Secret Life of Walter Mitty,2013,"Comedy,Drama,Fantasy",7.3,90000000.0,188133322.0,90.0,188.13,98133322.0,109.03702444444446,Fantasy,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3
2,tt0365907,A Walk Among the Tombstones,2014,"Action,Crime,Drama",6.5,28000000.0,58834384.0,28.0,58.83,30834384.0,110.12280000000001,Action,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,3
2,tt0365907,A Walk Among the Tombstones,2014,"Action,Crime,Drama",6.5,28000000.0,58834384.0,28.0,58.83,30834384.0,110.12280000000001,Crime,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,3
2,tt0365907,A Walk Among the Tombstones,2014,"Action,Crime,Drama",6.5,28000000.0,58834384.0,28.0,58.83,30834384.0,110.12280000000001,Drama,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,3
3,tt0369610,Jurassic World,2015,"Action,Adventure,Sci-Fi",7.0,150000000.0,1670400637.0,150.0,1670.4,1520400637.0,1013.6004246666668,Action,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,3
