,tconst,primaryTitle,startYear,genres,averageRating,budget,ww_gross,budget1mil,ww_gross1mil,ROI,genre_list,Mystery,Comedy,Thriller,Sci-Fi,Adventure,Animation,genre_count,top_genre_list
0,tt0337692,On the Road,2012,"Adventure,Drama,Romance",6.1,25000000.0,9617377.0,25.0,9.62,-61.530492,"['Adventure', 'Drama', 'Romance']",False,False,False,False,True,False,3,Adventure
1,tt0359950,The Secret Life of Walter Mitty,2013,"Comedy,Drama,Fantasy",7.3,90000000.0,188133322.0,90.0,188.13,109.03702444444446,"['Comedy', 'Drama', 'Fantasy']",False,True,False,False,False,False,3,Comedy
3,tt0369610,Jurassic World,2015,"Action,Adventure,Sci-Fi",7.0,150000000.0,1670400637.0,150.0,1670.4,1013.6004246666668,"['Action', 'Adventure', 'Sci-Fi']",False,False,False,True,True,False,3,Adventure
3,tt0369610,Jurassic World,2015,"Action,Adventure,Sci-Fi",7.0,150000000.0,1670400637.0,150.0,1670.4,1013.6004246666668,"['Action', 'Adventure', 'Sci-Fi']",False,False,False,True,True,False,3,Sci-Fi
4,tt0376136,The Rum Diary,2011,"Comedy,Drama",6.2,45000000.0,30134958.0,45.0,30.13,-33.033426666666664,"['Comedy', 'Drama']",False,True,False,False,False,False,2,Comedy
5,tt0377981,Gnomeo & Juliet,2011,"Adventure,Animation,Comedy",5.9,36000000.0,193967670.0,36.0,193.97,438.79908333333333,"['Adventure', 'Animation', 'Comedy']",False,True,False,False,True,True,3,Adventure
5,tt0377981,Gnomeo & Juliet,2011,"Adventure,Animation,Comedy",5.9,36000000.0,193967670.0,36.0,193.97,438.79908333333333,"['Adventure', 'Animation', 'Comedy']",False,True,False,False,True,True,3,Animation
5,tt0377981,Gnomeo & Juliet,2011,"Adventure,Animation,Comedy",5.9,36000000.0,193967670.0,36.0,193.97,438.79908333333333,"['Adventure', 'Animation', 'Comedy']",False,True,False,False,True,True,3,Comedy
6,tt0383010,The Three Stooges,2012,"Comedy,Family",5.0,30000000.0,54819301.0,30.0,54.82,82.73100333333333,"['Comedy', 'Family']",False,True,False,False,False,False,2,Comedy
7,tt0385887,Motherless Brooklyn,2019,"Crime,Drama,Mystery",6.8,26000000.0,18477736.0,26.0,18.48,-28.931784615384615,"['Crime', 'Drama', 'Mystery']",True,False,False,False,False,False,3,Mystery
8,tt0398286,Tangled,2010,"Adventure,Animation,Comedy",7.7,260000000.0,592461732.0,260.0,592.46,127.86989692307694,"['Adventure', 'Animation', 'Comedy']",False,True,False,False,True,True,3,Adventure
8,tt0398286,Tangled,2010,"Adventure,Animation,Comedy",7.7,260000000.0,592461732.0,260.0,592.46,127.86989692307694,"['Adventure', 'Animation', 'Comedy']",False,True,False,False,True,True,3,Animation
8,tt0398286,Tangled,2010,"Adventure,Animation,Comedy",7.7,260000000.0,592461732.0,260.0,592.46,127.86989692307694,"['Adventure', 'Animation', 'Comedy']",False,True,False,False,True,True,3,Comedy
9,tt0401729,John Carter,2012,"Action,Adventure,Sci-Fi",6.6,250000000.0,284139100.0,250.0,284.14,13.65564,"['Action', 'Adventure', 'Sci-Fi']",False,False,False,True,True,False,3,Adventure
9,tt0401729,John Carter,2012,"Action,Adventure,Sci-Fi",6.6,250000000.0,284139100.0,250.0,284.14,13.65564,"['Action', 'Adventure', 'Sci-Fi']",False,False,False,True,True,False,3,Sci-Fi
11,tt0409847,Cowboys & Aliens,2011,"Action,Sci-Fi,Thriller",6.0,163000000.0,174822325.0,163.0,174.82,7.2529601226993865,"['Action', 'Sci-Fi', 'Thriller']",False,False,True,True,False,False,3,Sci-Fi
11,tt0409847,Cowboys & Aliens,2011,"Action,Sci-Fi,Thriller",6.0,163000000.0,174822325.0,163.0,174.82,7.2529601226993865,"['Action', 'Sci-Fi', 'Thriller']",False,False,True,True,False,False,3,Thriller
13,tt0427152,Dinner for Schmucks,2010,Comedy,5.9,69000000.0,86855739.0,69.0,86.86,25.87788260869565,['Comedy'],False,True,False,False,False,False,1,Comedy
14,tt0429493,The A-Team,2010,"Action,Adventure,Thriller",6.7,110000000.0,177238796.0,110.0,177.24,61.12617818181818,"['Action', 'Adventure', 'Thriller']",False,False,True,False,True,False,3,Adventure
14,tt0429493,The A-Team,2010,"Action,Adventure,Thriller",6.7,110000000.0,177238796.0,110.0,177.24,61.12617818181818,"['Action', 'Adventure', 'Thriller']",False,False,True,False,True,False,3,Thriller
15,tt0431021,The Possession,2012,"Horror,Mystery,Thriller",5.9,14000000.0,85446075.0,14.0,85.45,510.3291071428571,"['Horror', 'Mystery', 'Thriller']",True,False,True,False,False,False,3,Horror
15,tt0431021,The Possession,2012,"Horror,Mystery,Thriller",5.9,14000000.0,85446075.0,14.0,85.45,510.3291071428571,"['Horror', 'Mystery', 'Thriller']",True,False,True,False,False,False,3,Mystery
15,tt0431021,The Possession,2012,"Horror,Mystery,Thriller",5.9,14000000.0,85446075.0,14.0,85.45,510.3291071428571,"['Horror', 'Mystery', 'Thriller']",True,False,True,False,False,False,3,Thriller
16,tt0433035,Real Steel,2011,"Action,Drama,Sci-Fi",7.1,110000000.0,299268508.0,110.0,299.27,172.06228,"['Action', 'Drama', 'Sci-Fi']",False,False,False,True,False,False,3,Sci-Fi
17,tt0435651,The Giver,2014,"Drama,Romance,Sci-Fi",6.5,25000000.0,66980456.0,25.0,66.98,167.921824,"['Drama', 'Romance', 'Sci-Fi']",False,False,False,True,False,False,3,Sci-Fi
18,tt0435761,Toy Story 3,2010,"Adventure,Animation,Comedy",8.3,200000000.0,1066969703.0,200.0,1066.97,433.4848515,"['Adventure', 'Animation', 'Comedy']",False,True,False,False,True,True,3,Adventure
18,tt0435761,Toy Story 3,2010,"Adventure,Animation,Comedy",8.3,200000000.0,1066969703.0,200.0,1066.97,433.4848515,"['Adventure', 'Animation', 'Comedy']",False,True,False,False,True,True,3,Animation
18,tt0435761,Toy Story 3,2010,"Adventure,Animation,Comedy",8.3,200000000.0,1066969703.0,200.0,1066.97,433.4848515,"['Adventure', 'Animation', 'Comedy']",False,True,False,False,True,True,3,Comedy
19,tt0437086,Alita: Battle Angel,2019,"Action,Adventure,Sci-Fi",7.3,170000000.0,404852543.0,170.0,404.85,138.14855470588233,"['Action', 'Adventure', 'Sci-Fi']",False,False,False,True,True,False,3,Adventure
19,tt0437086,Alita: Battle Angel,2019,"Action,Adventure,Sci-Fi",7.3,170000000.0,404852543.0,170.0,404.85,138.14855470588233,"['Action', 'Adventure', 'Sci-Fi']",False,False,False,True,True,False,3,Sci-Fi
22,tt0446029,Scott Pilgrim vs. the World,2010,"Action,Comedy,Fantasy",7.5,60000000.0,47664559.0,60.0,47.66,-20.559068333333332,"['Action', 'Comedy', 'Fantasy']",False,True,False,False,False,False,3,Comedy
23,tt0448115,Shazam!,2019,"Action,Adventure,Comedy",7.1,100000000.0,365971656.0,100.0,365.97,265.971656,"['Action', 'Adventure', 'Comedy']",False,True,False,False,True,False,3,Adventure
23,tt0448115,Shazam!,2019,"Action,Adventure,Comedy",7.1,100000000.0,365971656.0,100.0,365.97,265.971656,"['Action', 'Adventure', 'Comedy']",False,True,False,False,True,False,3,Comedy
24,tt0448694,Puss in Boots,2011,"Adventure,Animation,Comedy",6.6,130000000.0,554987477.0,130.0,554.99,326.9134438461538,"['Adventure', 'Animation', 'Comedy']",False,True,False,False,True,True,3,Adventure
24,tt0448694,Puss in Boots,2011,"Adventure,Animation,Comedy",6.6,130000000.0,554987477.0,130.0,554.99,326.9134438461538,"['Adventure', 'Animation', 'Comedy']",False,True,False,False,True,True,3,Animation
24,tt0448694,Puss in Boots,2011,"Adventure,Animation,Comedy",6.6,130000000.0,554987477.0,130.0,554.99,326.9134438461538,"['Adventure', 'Animation', 'Comedy']",False,True,False,False,True,True,3,Comedy
25,tt0451279,Wonder Woman,2017,"Action,Adventure,Fantasy",7.4,149000000.0,821847012.0,149.0,821.85,451.57517583892616,"['Action', 'Adventure', 'Fantasy']",False,False,False,False,True,False,3,Adventure
27,tt0454876,Life of Pi,2012,"Adventure,Drama,Fantasy",7.9,120000000.0,609016565.0,120.0,609.02,407.51380416666666,"['Adventure', 'Drama', 'Fantasy']",False,False,False,False,True,False,3,Adventure
28,tt0455407,The Crazies,2010,"Horror,Thriller",6.5,20000000.0,54806823.0,20.0,54.81,174.03411499999999,"['Horror', 'Thriller']",False,False,True,False,False,False,2,Horror
28,tt0455407,The Crazies,2010,"Horror,Thriller",6.5,20000000.0,54806823.0,20.0,54.81,174.03411499999999,"['Horror', 'Thriller']",False,False,True,False,False,False,2,Thriller
29,tt0455944,The Equalizer,2014,"Action,Crime,Thriller",7.2,55000000.0,192330738.0,55.0,192.33,249.69225090909092,"['Action', 'Crime', 'Thriller']",False,False,True,False,False,False,3,Thriller
30,tt0458339,Captain America: The First Avenger,2011,"Action,Adventure,Sci-Fi",6.9,140000000.0,370569774.0,140.0,370.57,164.69269571428572,"['Action', 'Adventure', 'Sci-Fi']",False,False,False,True,True,False,3,Adventure
30,tt0458339,Captain America: The First Avenger,2011,"Action,Adventure,Sci-Fi",6.9,140000000.0,370569774.0,140.0,370.57,164.69269571428572,"['Action', 'Adventure', 'Sci-Fi']",False,False,False,True,True,False,3,Sci-Fi
31,tt0458413,A Long Way Down,2014,"Comedy,Drama",6.4,12000000.0,7257942.0,12.0,7.26,-39.51715,"['Comedy', 'Drama']",False,True,False,False,False,False,2,Comedy
32,tt0458481,Frank Miller's Sin City: A Dame to Kill For,2014,"Action,Crime,Thriller",6.5,65000000.0,39407616.0,65.0,39.41,-39.37289846153846,"['Action', 'Crime', 'Thriller']",False,False,True,False,False,False,3,Thriller
33,tt0459748,Generation P,2011,"Comedy,Drama,Sci-Fi",6.8,7000000.0,4653071.0,7.0,4.65,-33.52755714285715,"['Comedy', 'Drama', 'Sci-Fi']",False,True,False,True,False,False,3,Comedy
33,tt0459748,Generation P,2011,"Comedy,Drama,Sci-Fi",6.8,7000000.0,4653071.0,7.0,4.65,-33.52755714285715,"['Comedy', 'Drama', 'Sci-Fi']",False,True,False,True,False,False,3,Sci-Fi
34,tt0464154,Piranha 3D,2010,"Comedy,Horror",5.4,24000000.0,83188165.0,24.0,83.19,246.61735416666664,"['Comedy', 'Horror']",False,True,False,False,False,False,2,Comedy
34,tt0464154,Piranha 3D,2010,"Comedy,Horror",5.4,24000000.0,83188165.0,24.0,83.19,246.61735416666664,"['Comedy', 'Horror']",False,True,False,False,False,False,2,Horror
35,tt0470752,Ex Machina,2014,"Drama,Mystery,Sci-Fi",7.7,15000000.0,36869414.0,15.0,36.87,145.79609333333335,"['Drama', 'Mystery', 'Sci-Fi']",True,False,False,True,False,False,3,Mystery
35,tt0470752,Ex Machina,2014,"Drama,Mystery,Sci-Fi",7.7,15000000.0,36869414.0,15.0,36.87,145.79609333333335,"['Drama', 'Mystery', 'Sci-Fi']",True,False,False,True,False,False,3,Sci-Fi
36,tt0471042,Tower Heist,2011,"Action,Comedy,Crime",6.2,75000000.0,152930623.0,75.0,152.93,103.90749733333334,"['Action', 'Comedy', 'Crime']",False,True,False,False,False,False,3,Comedy
37,tt0472181,The Smurfs,2011,"Adventure,Animation,Comedy",5.4,110000000.0,563749323.0,110.0,563.75,412.4993845454545,"['Adventure', 'Animation', 'Comedy']",False,True,False,False,True,True,3,Adventure
37,tt0472181,The Smurfs,2011,"Adventure,Animation,Comedy",5.4,110000000.0,563749323.0,110.0,563.75,412.4993845454545,"['Adventure', 'Animation', 'Comedy']",False,True,False,False,True,True,3,Animation
37,tt0472181,The Smurfs,2011,"Adventure,Animation,Comedy",5.4,110000000.0,563749323.0,110.0,563.75,412.4993845454545,"['Adventure', 'Animation', 'Comedy']",False,True,False,False,True,True,3,Comedy
38,tt0472399,The Mechanic,2011,"Action,Thriller",6.6,40000000.0,76130093.0,40.0,76.13,90.3252325,"['Action', 'Thriller']",False,False,True,False,False,False,2,Thriller
39,tt0473075,Prince of Persia: The Sands of Time,2010,"Action,Adventure,Fantasy",6.6,200000000.0,336365676.0,200.0,336.37,68.182838,"['Action', 'Adventure', 'Fantasy']",False,False,False,False,True,False,3,Adventure
40,tt0475290,"Hail, Caesar!",2016,"Comedy,Drama,Music",6.3,22000000.0,63647656.0,22.0,63.65,189.30752727272727,"['Comedy', 'Drama', 'Music']",False,True,False,False,False,False,3,Comedy
41,tt0477080,Unstoppable,2010,"Action,Thriller",6.8,100000000.0,167805466.0,100.0,167.81,67.80546600000001,"['Action', 'Thriller']",False,False,True,False,False,False,2,Thriller
42,tt0477302,Extremely Loud & Incredibly Close,2011,"Adventure,Drama,Mystery",6.9,40000000.0,55247881.0,40.0,55.25,38.1197025,"['Adventure', 'Drama', 'Mystery']",True,False,False,False,True,False,3,Adventure
42,tt0477302,Extremely Loud & Incredibly Close,2011,"Adventure,Drama,Mystery",6.9,40000000.0,55247881.0,40.0,55.25,38.1197025,"['Adventure', 'Drama', 'Mystery']",True,False,False,False,True,False,3,Mystery
44,tt0478970,Ant-Man,2015,"Action,Adventure,Comedy",7.3,130000000.0,519311965.0,130.0,519.31,299.4707423076923,"['Action', 'Adventure', 'Comedy']",False,True,False,False,True,False,3,Adventure
44,tt0478970,Ant-Man,2015,"Action,Adventure,Comedy",7.3,130000000.0,519311965.0,130.0,519.31,299.4707423076923,"['Action', 'Adventure', 'Comedy']",False,True,False,False,True,False,3,Comedy
